phase,model,acc,macroF1,cm_png,roc_png,pr_png,rel_png,pred_csv
ALL9,mobilenetv3,0.9815223940550312,0.9807810345660459,runs\figures\confusion_ALL9_mobilenetv3.png,runs\figures\roc_ovr_ALL9_mobilenetv3.png,runs\figures\pr_ovr_ALL9_mobilenetv3.png,runs\figures\reliability_ALL9_mobilenetv3.png,runs\tables\pred_ALL9_mobilenetv3.csv
ALL9,cnn,0.6388833099015867,0.6220315806731732,runs\figures\confusion_ALL9_cnn.png,runs\figures\roc_ovr_ALL9_cnn.png,runs\figures\pr_ovr_ALL9_cnn.png,runs\figures\reliability_ALL9_cnn.png,runs\tables\pred_ALL9_cnn.csv
ALL9,vit_resnet,0.9843342036553525,0.9836083215691794,runs\figures\confusion_ALL9_vit_resnet.png,runs\figures\roc_ovr_ALL9_vit_resnet.png,runs\figures\pr_ovr_ALL9_vit_resnet.png,runs\figures\reliability_ALL9_vit_resnet.png,runs\tables\pred_ALL9_vit_resnet.csv
ALL9,swin_densenet,0.9843342036553525,0.9839161553285763,runs\figures\confusion_ALL9_swin_densenet.png,runs\figures\roc_ovr_ALL9_swin_densenet.png,runs\figures\pr_ovr_ALL9_swin_densenet.png,runs\figures\reliability_ALL9_swin_densenet.png,runs\tables\pred_ALL9_swin_densenet.csv
ALL9,efficientnet,0.983329985940952,0.9826826037900792,runs\figures\confusion_ALL9_efficientnet.png,runs\figures\roc_ovr_ALL9_efficientnet.png,runs\figures\pr_ovr_ALL9_efficientnet.png,runs\figures\reliability_ALL9_efficientnet.png,runs\tables\pred_ALL9_efficientnet.csv
ALL9,vgg16,0.9720827475396666,0.9713411046324778,runs\figures\confusion_ALL9_vgg16.png,runs\figures\roc_ovr_ALL9_vgg16.png,runs\figures\pr_ovr_ALL9_vgg16.png,runs\figures\reliability_ALL9_vgg16.png,runs\tables\pred_ALL9_vgg16.csv
ALL9,vgg19,0.966659971881904,0.9668181086806977,runs\figures\confusion_ALL9_vgg19.png,runs\figures\roc_ovr_ALL9_vgg19.png,runs\figures\pr_ovr_ALL9_vgg19.png,runs\figures\reliability_ALL9_vgg19.png,runs\tables\pred_ALL9_vgg19.csv
L1,resnet50,0.9979915645711991,0.9958787261149871,runs\figures\confusion_L1_resnet50.png,runs\figures\roc_binary_L1_resnet50.png,runs\figures\pr_binary_L1_resnet50.png,runs\figures\reliability_L1_resnet50.png,runs\tables\pred_L1_resnet50.csv
L2,resnet50,0.9826900584795322,0.98244785297511,runs\figures\confusion_L2_resnet50.png,runs\figures\roc_ovr_L2_resnet50.png,runs\figures\pr_ovr_L2_resnet50.png,runs\figures\reliability_L2_resnet50.png,runs\tables\pred_L2_resnet50.csv
L2,densenet121,0.9852631578947368,0.9849430363657146,runs\figures\confusion_L2_densenet121.png,runs\figures\roc_ovr_L2_densenet121.png,runs\figures\pr_ovr_L2_densenet121.png,runs\figures\reliability_L2_densenet121.png,runs\tables\pred_L2_densenet121.csv
